rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,2052947.3684210526,12.80114173926551,[3 15 5 1782.652448042918]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,2052947.3684210526,86.94099168454885,[26 7 33 642.7797430089788]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,2052947.3684210526,8.521386230750672e-59,[29 1 2 44.958563343806546]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,2210789.4736842103,367.00225297778655,[5 26 6 1184.5300395941251]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,2210789.4736842103,6.685630926813131,[3 16 5 1836.649727146873]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,2210789.4736842103,71.03126818327252,[26 7 33 691.5088990366288]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,2210789.4736842103,1.552129084001324e-93,[25 4 3 181.13608499721312]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,2368631.5789473685,316.93876011816906,[5 27 6 1246.0859833417915]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,2368631.5789473685,3.2375358080278054,[3 16 5 1916.7478121312142]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,2368631.5789473685,59.14809611886884,[29 8 35 805.5631328583338]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,2368631.5789473685,1.42458370219249e-68,[29 1 2 52.06595469212588]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,2526473.6842105263,273.8408033445705,[5 27 6 1339.0705748614027]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,2526473.6842105263,1.4082368000412455,[3 17 5 1937.4231976016445]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,2526473.6842105263,48.42100561916163,[29 8 36 853.779387343217]
