,rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
107,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,0.001,3000000.0,4.208892203111303e-90,[29 1 2 69.06454408729833]
151,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,0.001,3000000.0,2.749723885154036e-86,[29 1 2 64.16279371733694]
195,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,0.001,3000000.0,8048.9994502878435,[29 8 36 857.5018537586178]
239,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,0.001,3000000.0,57737.29523156607,[29 8 38 789.7774184526628]
283,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,0.001,3000000.0,99750.94048054874,[29 8 38 783.0475127689408]
327,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,0.001,3000000.0,107282.6152670374,[29 8 38 782.3768212850126]
371,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179586.0,0.001,3000000.0,108095.90823027647,[29 8 38 782.3112474944825]
23,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.01,3000000.0,0.0,
67,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,0.01,3000000.0,0.0,
111,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,0.01,3000000.0,5.375325949279106e-90,[29 1 2 69.06371707740784]
155,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,0.01,3000000.0,1.6192014044417008e-29,[28 6 10 541.9932086325247]
199,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,0.01,3000000.0,8132.220972453718,[29 8 36 858.1197759772963]
243,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,0.01,3000000.0,57830.115796339705,[29 8 38 789.860004877152]
287,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,0.01,3000000.0,99844.61340139643,[29 8 38 783.091746167392]
331,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,0.01,3000000.0,107376.37226987084,[29 8 38 782.4203710951977]
375,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179586.0,0.01,3000000.0,108189.67362625131,[29 8 38 782.3541435800582]
27,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.1,3000000.0,0.0,
71,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,0.1,3000000.0,0.0,
