rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,2210789.4736842103,2.224884916385961e-49,[1 8 29 212.81440531233775]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,2368631.5789473685,7.662546982498159e-53,[1 6 29 214.845928126561]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,2526473.6842105263,1.3498027323685004e-57,[1 11 29 249.0448358857754]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,2684315.789473684,1.7960349778688733e-56,[1 3 29 116.0152956812581]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,2842157.8947368423,3.945645594345308e-60,[1 3 29 124.4311428010015]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000.0,20669705.051293705,[1 1 3 1.000005656815579]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,158842.1052631579,23129.19171609154,[3 11 4 67.59017777786664]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,316684.2105263158,7146.05321783983,[4 18 5 138.72905252525769]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,474526.3157894737,3902.0587432255834,[4 18 5 229.82466870480442]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,632368.4210526316,2467.9428655416664,[4 18 5 328.4442682950073]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,790210.5263157894,1689.657468929388,[4 18 5 432.7660376225258]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,948052.6315789474,1214.7207686659224,[4 18 5 541.4851542279904]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1105894.7368421052,911.3712530384023,[4 25 6 611.4606042713659]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1263736.8421052631,716.4090673070951,[4 25 6 716.4274187894498]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1421578.9473684211,572.9349097908442,[4 25 6 823.2193242527894]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1579421.0526315789,464.1367319478344,[4 25 6 931.4095317837479]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1737263.1578947369,379.9988908856803,[4 26 6 1013.3015184588502]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1895105.2631578948,313.5165463448356,[4 26 6 1120.4282376788685]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,2052947.3684210526,260.2661992367401,[5 28 6 1155.435040002774]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,2210789.4736842103,220.5095411683983,[5 28 6 1256.3453866658056]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,2368631.5789473685,187.27488729430914,[5 28 6 1357.433599668378]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,2526473.6842105263,159.42942738037584,[5 29 6 1425.4468595339763]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,2684315.789473684,72.77437346526226,[4 19 5 1724.3935758377331]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,2842157.8947368423,115.49748120742271,[5 29 6 1622.3712548694]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,3000000.0,98.01671010827818,[5 29 6 1720.0521554763166]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000.0,71054251.07030337,[1 1 5 1.0000056568155808]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,158842.1052631579,39648.206968397804,[3 10 4 67.78498241954067]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,316684.2105263158,11982.875374268677,[4 11 4 157.90113218819218]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,474526.3157894737,6319.962905068476,[4 15 5 242.9941146521132]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,632368.4210526316,4076.551770541388,[4 16 5 327.87451705798384]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,790210.5263157894,2832.138521478385,[4 16 5 431.18729269772683]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,948052.6315789474,2062.5243431316208,[4 17 5 513.0304492841504]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1105894.7368421052,1557.3782769419622,[4 16 5 649.5846370515985]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1263736.8421052631,1159.1207745892398,[4 23 6 681.524097476824]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1421578.9473684211,945.017912196314,[4 17 5 836.6456042394276]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1579421.0526315789,764.6472145954676,[4 23 6 885.0969958321724]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1737263.1578947369,630.977966580174,[4 24 6 958.9449196911853]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1895105.2631578948,530.9236137632688,[5 27 6 959.2605767258964]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,2052947.3684210526,455.40666150195943,[5 26 6 1078.609490548047]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,2210789.4736842103,391.6915478594974,[5 26 6 1172.6255701927616]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,2368631.5789473685,338.10338726217674,[5 26 6 1266.9989349825955]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,2526473.6842105263,293.5725743125399,[5 27 6 1326.0224373700482]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,2684315.789473684,254.9221180659045,[5 27 6 1418.3114963780513]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,2842157.8947368423,221.37168210797216,[5 28 6 1475.1440955509509]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,3000000.0,192.75177747550327,[5 28 6 1565.207508250557]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000.0,105075850.30940486,[1 1 3 1.000005656815579]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,158842.1052631579,52745.12920513082,[3 10 4 77.76565966813708]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,316684.2105263158,13935.476296615147,[3 10 4 201.64649814846857]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,474526.3157894737,5447.193426723742,[3 10 4 347.61396862701275]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,632368.4210526316,2470.4427444977387,[3 10 4 505.2615131240878]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,790210.5263157894,1480.1771015436022,[4 16 5 687.9639310006053]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,948052.6315789474,900.161418076213,[4 17 5 827.388059355432]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1105894.7368421052,560.1566506377486,[4 17 5 991.1907495754443]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1263736.8421052631,347.0953484488462,[4 17 5 1149.8338843803642]
