rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.98,1e-06,5e-05,1157.6460861948801,[4 25 6 587.9319909192025]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.98,3.162277660168379e-06,5e-05,1119.9218455165956,[4 18 5 632.6542811228975]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.98,1e-05,5e-05,1049.6039681738966,[4 26 6 573.1599380325488]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.98,3.1622776601683795e-05,5e-05,820.7840613758506,[4 27 6 563.6250327132179]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.98,0.0001,5e-05,269.08790109823644,[4 29 6 554.3506546015086]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.99,1e-06,5e-05,1490.3076999465152,[4 17 5 601.8079568151368]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.99,3.162277660168379e-06,5e-05,1448.5184412155832,[4 17 5 602.3131814187743]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.99,1e-05,5e-05,1320.5931252171313,[4 17 5 603.9212151748409]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.99,3.1622776601683795e-05,5e-05,1047.1562459843406,[4 26 6 528.4524126212051]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.99,0.0001,5e-05,433.8014783643286,[4 29 6 509.6391615057314]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.95,1e-06,5e-05,2.328630676759264,[3 19 5 879.2046646760981]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.95,3.162277660168379e-06,5e-05,2.021003248021052,[3 19 5 869.9003832905502]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.95,1e-05,5e-05,1.1253468917790677,[3 20 5 811.3834615607259]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.95,3.1622776601683795e-05,5e-05,8.62436392802957e-07,[2 18 5 510.69539116574765]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.95,0.0001,5e-05,4.2604175315128606e-17,[1 1 29 24.10351041515736]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.96,1e-06,5e-05,11.68479200917337,[3 18 5 888.5403685608277]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.96,3.162277660168379e-06,5e-05,10.548764062211323,[3 18 5 882.0334800111693]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.96,1e-05,5e-05,7.164621230814811,[3 18 5 856.2890808451456]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.96,3.1622776601683795e-05,5e-05,1.2534278848010235e-05,[2 17 5 527.7126820880208]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.96,0.0001,5e-05,5.66465631799864e-17,[1 1 29 24.259634480145465]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.97,1e-06,5e-05,49.762855645894874,[4 19 5 996.7469923718895]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.97,3.162277660168379e-06,5e-05,39.83668480063357,[4 19 5 972.1980441248292]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.97,1e-05,5e-05,29.746955754400346,[3 17 5 867.8469420542557]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.97,3.1622776601683795e-05,5e-05,6.197528383550507,[3 19 5 731.9182322725354]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.97,0.0001,5e-05,7.511778146339672e-17,[1 1 29 24.429724637213848]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.98,1e-06,5e-05,167.75919736222514,[4 18 5 993.7987164493699]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.98,3.162277660168379e-06,5e-05,146.8179929419523,[4 18 5 980.5838202912414]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.98,1e-05,5e-05,91.75602125431436,[3 16 5 869.8435625608857]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.98,3.1622776601683795e-05,5e-05,34.79759042063102,[3 18 5 762.1102330309625]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.98,0.0001,5e-05,9.936918398167216e-17,[1 1 29 24.61634371901748]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.99,1e-06,5e-05,396.4160574582211,[4 17 5 961.228641701469]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.99,3.162277660168379e-06,5e-05,361.6786171018243,[4 17 5 954.1733586517674]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.99,1e-05,5e-05,226.1551598523497,[3 16 5 831.7257297558077]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.99,3.1622776601683795e-05,5e-05,74.07008359345264,[3 22 6 858.7967348159574]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,0.99,0.0001,5e-05,1.3116002344971294e-16,[1 1 29 24.822788518120664]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,0.95,1e-06,5e-05,50281.110697887554,[5 29 6 560.475640030245]
