rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.00019,551.033482197637,[4 29 6 466.17424436462824]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.000195,520.9599228800394,[4 29 6 466.880992521631]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,5e-05,770.2102873432422,[4 16 5 914.9276413257192]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,6e-05,605.0161426179558,[4 17 5 868.21256255693]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,7e-05,452.31983893894557,[4 17 5 852.868948279374]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,7.999999999999999e-05,345.56319991494075,[3 15 5 796.0927133947803]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,8.999999999999999e-05,278.62265544846423,[3 16 5 756.5214181597282]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.0001,220.0388820489709,[3 16 5 743.6342270719173]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000105,191.9567565602775,[3 16 5 736.6028079352992]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00011,164.67625372722034,[3 17 5 707.8799171937656]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000115,1.7441382959705617e-16,[1 1 29 25.1235759068163]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00012,93.19482057049115,[3 23 6 766.5583108515624]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000125,94.6118331018105,[3 17 5 683.7220529337245]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00013000000000000002,73.57898193248393,[3 18 5 656.6611330785877]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000135,1.7332625964985125e-16,[1 1 29 25.122737196843136]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00014,42.88644617012874,[3 25 6 724.2590593250887]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000145,19.49570267252222,[3 19 5 606.8081897681539]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00015000000000000001,1.725270288072355e-16,[1 1 29 25.122117402538436]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000155,1.7226346538316875e-16,[1 1 29 25.121912307543468]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00015999999999999999,3.955405848571409,[3 25 6 696.9691761215558]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000165,1.7174033928019353e-16,[1 1 29 25.121504248322452]
