rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,0.1,1000000.0,1,0,5e-05,29.529373379958027,[3 10 4 1034.5631692234679]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,1.0,1000000.0,1,0,5e-05,29.773058412834466,[3 10 4 1035.938343921884]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,10.0,1000000.0,1,0,5e-05,29.797480654827396,[3 10 4 1036.0756624835947]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,100.0,1000000.0,1,0,5e-05,29.79992341700527,[3 10 4 1036.0886201116775]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,1000.0,1000000.0,1,0,5e-05,29.800167698519896,[3 10 4 1036.0910126558574]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,1e-06,1000000.0,1,0,5e-05,5.85809189584605e-17,[1 1 27 57.413497801443434]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,1e-05,1000000.0,1,0,5e-05,5194.674385440994,[4 29 6 420.2596629871947]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,0.0001,1000000.0,1,0,5e-05,16034.195508220944,[4 17 5 515.2332698180579]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,0.001,1000000.0,1,0,5e-05,18475.014812959038,[4 16 5 540.7775971985122]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,0.01,1000000.0,1,0,5e-05,18734.706904999526,[4 16 5 540.865502593121]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,0.1,1000000.0,1,0,5e-05,18760.841939048467,[4 16 5 540.874330401292]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,1.0,1000000.0,1,0,5e-05,18763.457122716056,[4 16 5 540.8752408459312]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,10.0,1000000.0,1,0,5e-05,18763.71865792082,[4 16 5 540.8754447343615]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,100.0,1000000.0,1,0,5e-05,18763.744811649623,[4 16 5 540.8752275169288]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,1000.0,1000000.0,1,0,5e-05,18763.747426967173,[4 16 5 540.8755004531776]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,1e-07,1000000.0,1,0,5e-05,2.1955046508224473e-15,[1 2 22 31.40039183494408]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,1e-06,1000000.0,1,0,5e-05,62223.556405901916,[4 29 7 428.1024192172527]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,1e-05,1000000.0,1,0,5e-05,164491.85663133144,[4 22 6 441.5394035847313]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,0.0001,1000000.0,1,0,5e-05,197557.48483274804,[4 16 5 490.73782387647424]
